,Layers,Perplexity,Sum,Quantized_layers
111,"[False, False, False, False, False, True, True, False, True, True, True, True]",28.795297622680664,6,"[6, 7, 9, 10, 11, 12]"
117,"[False, False, False, False, False, True, True, True, False, True, False, True]",28.79610061645508,5,"[6, 7, 8, 10, 12]"
63,"[False, False, False, False, False, False, True, True, True, True, True, True]",28.80534172058105,6,"[7, 8, 9, 10, 11, 12]"
31,"[False, False, False, False, False, False, False, True, True, True, True, True]",28.80815315246582,5,"[8, 9, 10, 11, 12]"
55,"[False, False, False, False, False, False, True, True, False, True, True, True]",28.829864501953125,5,"[7, 8, 10, 11, 12]"
115,"[False, False, False, False, False, True, True, True, False, False, True, True]",28.835493087768555,5,"[6, 7, 8, 11, 12]"
122,"[False, False, False, False, False, True, True, True, True, False, True, False]",28.85602188110352,5,"[6, 7, 8, 9, 11]"
124,"[False, False, False, False, False, True, True, True, True, True, False, False]",28.860448837280277,5,"[6, 7, 8, 9, 10]"
121,"[False, False, False, False, False, True, True, True, True, False, False, True]",28.883005142211918,5,"[6, 7, 8, 9, 12]"
119,"[False, False, False, False, False, True, True, True, False, True, True, True]",29.025598526000977,6,"[6, 7, 8, 10, 11, 12]"
125,"[False, False, False, False, False, True, True, True, True, True, False, True]",29.03612518310547,6,"[6, 7, 8, 9, 10, 12]"
123,"[False, False, False, False, False, True, True, True, True, False, True, True]",29.09208106994629,6,"[6, 7, 8, 9, 11, 12]"
126,"[False, False, False, False, False, True, True, True, True, True, True, False]",29.12660217285156,6,"[6, 7, 8, 9, 10, 11]"
127,"[False, False, False, False, False, True, True, True, True, True, True, True]",29.3067569732666,7,"[6, 7, 8, 9, 10, 11, 12]"
157,"[(False, False, False, False, True, False, False, True, True, True, False, True)]",,1,[1]
